RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
130,9,Jakobi Meyers,LV,WR50,10,3 out of 5 stars,-
131,9,Trey Benson,ARI,RB40,11,2 out of 5 stars,-
132,9,Dalton Schultz,HOU,TE14,14,2 out of 5 stars,-
133,9,Bo Nix,DEN,QB29,14,2 out of 5 stars,-
134,9,Keon Coleman,BUF,WR51,12,2 out of 5 stars,-
135,9,J.J. McCarthy,MIN,QB30,6,5 out of 5 stars,-
136,9,Zach Charbonnet,SEA,RB41,10,4 out of 5 stars,-
137,9,Curtis Samuel,BUF,WR52,12,2 out of 5 stars,-
138,9,T.J. Hockenson,MIN,TE15,6,2 out of 5 stars,-
139,9,Blake Corum,LAR,RB42,6,3 out of 5 stars,-
140,9,Rashid Shaheed,NO,WR53,12,3 out of 5 stars,-
141,9,Cole Kmet,CHI,TE16,7,3 out of 5 stars,-
142,9,Brandin Cooks,DAL,WR54,7,3 out of 5 stars,-
143,9,Joshua Palmer,LAC,WR55,5,3 out of 5 stars,-
144,9,Mike Williams,NYJ,WR56,12,4 out of 5 stars,-
145,9,Drake Maye,NE,QB31,14,3 out of 5 stars,-
146,9,Romeo Doubs,GB,WR57,10,4 out of 5 stars,-
147,9,Chuba Hubbard,CAR,RB43,11,4 out of 5 stars,-
148,9,Josh Downs,IND,WR58,14,4 out of 5 stars,-
149,9,Jerry Jeudy,CLE,WR59,10,3 out of 5 stars,-
150,9,Antonio Gibson,NE,RB44,14,2 out of 5 stars,-
151,9,Khalil Shakir,BUF,WR60,12,2 out of 5 stars,-
152,9,Ty Chandler,MIN,RB45,6,3 out of 5 stars,-
153,9,Rico Dowdle,DAL,RB46,7,3 out of 5 stars,-
154,9,Luke Musgrave,GB,TE17,10,3 out of 5 stars,-
155,9,Jaleel McLaughlin,DEN,RB47,14,4 out of 5 stars,-
156,9,Kendre Miller,NO,RB48,12,5 out of 5 stars,-
157,9,Jahan Dotson,WAS,WR61,14,3 out of 5 stars,-
158,9,Tyler Allgeier,ATL,RB49,12,4 out of 5 stars,-
159,9,MarShawn Lloyd,GB,RB50,10,1 out of 5 stars,-
160,9,Gabe Davis,JAC,WR62,12,4 out of 5 stars,-
161,9,Hunter Henry,NE,TE18,14,3 out of 5 stars,-
162,9,Adam Thielen,CAR,WR63,11,5 out of 5 stars,-
163,10,Dontayvion Wicks,GB,WR64,10,4 out of 5 stars,-
164,10,Khalil Herbert,CHI,RB51,7,2 out of 5 stars,-
165,10,J.K. Dobbins,LAC,RB52,5,4 out of 5 stars,-
166,10,Adonai Mitchell,IND,WR65,14,4 out of 5 stars,-
167,10,DeMario Douglas,NE,WR66,14,3 out of 5 stars,-
168,10,Michael Wilson,ARI,WR67,11,3 out of 5 stars,-
169,10,Cade Otton,TB,TE19,11,3 out of 5 stars,-
170,10,Rashod Bateman,BAL,WR68,14,3 out of 5 stars,-
171,10,Marvin Mims Jr.,DEN,WR69,14,2 out of 5 stars,-
172,10,Roschon Johnson,CHI,RB53,7,2 out of 5 stars,-
173,10,Quentin Johnston,LAC,WR70,5,3 out of 5 stars,-
174,10,Xavier Legette,CAR,WR71,11,5 out of 5 stars,-
175,10,Elijah Mitchell,SF,RB54,9,2 out of 5 stars,-
176,10,Tyler Conklin,NYJ,TE20,12,3 out of 5 stars,-
177,10,Ray Davis,BUF,RB55,12,2 out of 5 stars,-
178,10,Darnell Mooney,ATL,WR72,12,4 out of 5 stars,-
179,10,Ja'Lynn Polk,NE,WR73,14,3 out of 5 stars,-
180,10,Taysom Hill,NO,TE21,12,4 out of 5 stars,-
181,10,Justin Fields,PIT,QB32,9,2 out of 5 stars,-
182,10,Gardner Minshew II,LV,QB33,10,2 out of 5 stars,-
183,10,Chigoziem Okonkwo,TEN,TE22,5,4 out of 5 stars,-
184,10,Jaylen Wright,MIA,RB56,6,3 out of 5 stars,-
185,10,Wan'Dale Robinson,NYG,WR74,11,3 out of 5 stars,-
186,10,Jermaine Burton,CIN,WR75,12,2 out of 5 stars,-
187,10,Juwan Johnson,NO,TE23,12,4 out of 5 stars,-
188,10,Noah Fant,SEA,TE24,10,3 out of 5 stars,-
189,10,Dameon Pierce,HOU,RB57,14,3 out of 5 stars,-
190,10,Ricky Pearsall,SF,WR76,9,2 out of 5 stars,-
191,10,Ben Sinnott,WAS,TE25,14,2 out of 5 stars,-
192,10,Bucky Irving,TB,RB58,11,5 out of 5 stars,-
193,10,Isaiah Likely,BAL,TE26,14,3 out of 5 stars,-
194,10,Demarcus Robinson,LAR,WR77,6,3 out of 5 stars,-
195,10,Kimani Vidal,LAC,RB59,5,4 out of 5 stars,-
196,10,Sam Darnold,MIN,QB34,6,5 out of 5 stars,-
197,10,Roman Wilson,PIT,WR78,9,1 out of 5 stars,-
198,10,Elijah Moore,CLE,WR79,10,3 out of 5 stars,-
199,10,Troy Franklin,DEN,WR80,14,2 out of 5 stars,-
200,10,D'Onta Foreman,CLE,RB60,10,4 out of 5 stars,-
201,10,Javon Baker,NE,WR81,14,3 out of 5 stars,-
202,10,Braelon Allen,NYJ,RB61,12,2 out of 5 stars,-
203,10,Audric Estime,DEN,RB62,14,4 out of 5 stars,-
204,10,Tucker Kraft,GB,TE27,10,3 out of 5 stars,-
205,10,Alexander Mattison,LV,RB63,10,3 out of 5 stars,-
206,10,Keaton Mitchell,BAL,RB64,14,3 out of 5 stars,-
207,10,Jalin Hyatt,NYG,WR82,11,3 out of 5 stars,-
208,10,Darius Slayton,NYG,WR83,11,3 out of 5 stars,-
209,11,Clyde Edwards-Helaire,KC,RB65,6,3 out of 5 stars,-
210,11,Kenneth Gainwell,PHI,RB66,5,4 out of 5 stars,-
211,11,Mike Gesicki,CIN,TE28,12,3 out of 5 stars,-
212,11,AJ Dillon,GB,RB67,10,1 out of 5 stars,-
213,11,Zay Jones,ARI,WR84,11,3 out of 5 stars,-
214,11,Tyler Boyd,TEN,WR85,5,4 out of 5 stars,-
215,11,Malachi Corley,NYJ,WR86,12,4 out of 5 stars,-
216,11,Miles Sanders,CAR,RB68,11,4 out of 5 stars,-
217,11,Kendrick Bourne,NE,WR87,14,3 out of 5 stars,-
218,11,Tyrone Tracy Jr.,NYG,RB69,11,3 out of 5 stars,-
219,11,Rondale Moore,ATL,WR88,12,4 out of 5 stars,-
220,11,Tank Bigsby,JAC,RB70,12,2 out of 5 stars,-
221,11,Justice Hill,BAL,RB71,14,3 out of 5 stars,-
222,11,Jelani Woods,IND,TE29,14,3 out of 5 stars,-
223,11,Odell Beckham Jr.,MIA,WR89,6,2 out of 5 stars,-
224,11,Michael Mayer,LV,TE30,10,4 out of 5 stars,-
225,11,DJ Chark Jr.,LAC,WR90,5,3 out of 5 stars,-
226,11,Jamaal Williams,NO,RB72,12,5 out of 5 stars,-
227,11,A.T. Perry,NO,WR91,12,3 out of 5 stars,-
228,11,Treylon Burks,TEN,WR92,5,4 out of 5 stars,-
229,11,Jonathan Mingo,CAR,WR93,11,5 out of 5 stars,-
230,11,Jalen McMillan,TB,WR94,11,3 out of 5 stars,-
231,11,Ja'Tavion Sanders,CAR,TE31,11,3 out of 5 stars,-
232,11,Samaje Perine,DEN,RB73,14,4 out of 5 stars,-
233,11,Devontez Walker,BAL,WR95,14,3 out of 5 stars,-
234,11,Dawson Knox,BUF,TE32,12,2 out of 5 stars,-
235,11,Alec Pierce,IND,WR96,14,4 out of 5 stars,-
236,11,Trey Palmer,TB,WR97,11,3 out of 5 stars,-
237,11,Josh Reynolds,DEN,WR98,14,2 out of 5 stars,-
238,11,K.J. Osborn,NE,WR99,14,3 out of 5 stars,-
239,11,Will Shipley,PHI,RB74,5,4 out of 5 stars,-
240,11,Cedric Tillman,CLE,WR100,10,3 out of 5 stars,-
241,11,Gerald Everett,CHI,TE33,7,3 out of 5 stars,-
242,11,Aidan O'Connell,LV,QB35,10,2 out of 5 stars,-
243,11,Andrei Iosivas,CIN,WR101,12,2 out of 5 stars,-
244,11,Dylan Laube,LV,RB75,10,3 out of 5 stars,-
245,11,Trey Sermon,IND,RB76,14,2 out of 5 stars,-
246,11,Jonnu Smith,MIA,TE34,6,2 out of 5 stars,-
247,11,Evan Hull,IND,RB77,14,2 out of 5 stars,-
248,11,Tyler Higbee,LAR,TE35,6,3 out of 5 stars,-
249,11,Deuce Vaughn,DAL,RB78,7,3 out of 5 stars,-
250,11,Jordan Mason,SF,RB79,9,2 out of 5 stars,-
251,12,Jeff Wilson Jr.,MIA,RB80,6,3 out of 5 stars,-
252,12,Michael Carter,ARI,RB81,11,2 out of 5 stars,-
253,12,Kadarius Toney,KC,WR102,6,3 out of 5 stars,-
254,12,Luke McCaffrey,WAS,WR103,14,3 out of 5 stars,-
255,12,D'Ernest Johnson,JAC,RB82,12,2 out of 5 stars,-
256,12,Noah Brown,HOU,WR104,14,3 out of 5 stars,-
257,12,Greg Dulcich,DEN,TE36,14,2 out of 5 stars,-
258,12,Isaac Guerendo,SF,RB83,9,2 out of 5 stars,-
259,12,Brenden Rice,LAC,WR105,5,3 out of 5 stars,-
260,12,Zach Ertz,WAS,TE37,14,2 out of 5 stars,-
261,12,Chris Rodriguez Jr.,WAS,RB84,14,3 out of 5 stars,-
262,12,Cordarrelle Patterson,PIT,RB85,9,4 out of 5 stars,-
263,12,Pierre Strong Jr.,CLE,RB86,10,4 out of 5 stars,-
264,12,Israel Abanikanda,NYJ,RB87,12,2 out of 5 stars,-
265,12,Eric Gray,NYG,RB88,11,3 out of 5 stars,-
266,12,Chase Edmonds,TB,RB89,11,5 out of 5 stars,-
267,12,Michael Thomas,FA,WR106,-,-,-
268,12,Emari Demercado,ARI,RB90,11,2 out of 5 stars,-
269,12,Jacob Cowing,SF,WR107,9,2 out of 5 stars,-
270,12,Tyler Scott,CHI,WR108,7,4 out of 5 stars,-
271,12,Jacoby Brissett,NE,QB36,14,3 out of 5 stars,-
272,12,Robert Woods,HOU,WR109,14,3 out of 5 stars,-
273,12,Jerick McKinnon,FA,RB91,-,-,-
274,12,Kareem Hunt,FA,RB92,-,-,-
275,12,Ronnie Rivers,LAR,RB93,6,3 out of 5 stars,-
276,12,Greg Dortch,ARI,WR110,11,3 out of 5 stars,-
277,12,Jalen Tolbert,DAL,WR111,7,3 out of 5 stars,-
278,12,Daniel Bellinger,NYG,TE38,11,4 out of 5 stars,-
279,12,Cam Akers,HOU,RB94,14,3 out of 5 stars,-
280,12,Colby Parkinson,LAR,TE39,6,3 out of 5 stars,-
281,12,Isaiah Spiller,LAC,RB95,5,4 out of 5 stars,-
282,12,Michael Penix Jr.,ATL,QB37,12,3 out of 5 stars,-
283,12,Hayden Hurst,LAC,TE40,5,3 out of 5 stars,-
284,12,Dalvin Cook,FA,RB96,-,-,-
285,12,Tutu Atwell,LAR,WR112,6,3 out of 5 stars,-
286,12,Salvon Ahmed,MIA,RB97,6,3 out of 5 stars,-
287,12,Theo Johnson,NYG,TE41,11,4 out of 5 stars,-
288,12,Joshua Kelley,FA,RB98,-,-,-
289,12,Rasheen Ali,BAL,RB99,14,3 out of 5 stars,-
290,12,Marquez Valdes-Scantling,BUF,WR113,12,2 out of 5 stars,-
291,12,JuJu Smith-Schuster,NE,WR114,14,3 out of 5 stars,-
292,12,Malik Washington,MIA,WR115,6,2 out of 5 stars,-
293,13,Matt Breida,FA,RB100,-,-,-
294,13,Tre Tucker,LV,WR116,10,3 out of 5 stars,-
295,13,Kalif Raymond,DET,WR117,5,4 out of 5 stars,-
296,13,Nelson Agholor,BAL,WR118,14,3 out of 5 stars,-
297,13,Donovan Peoples-Jones,DET,WR119,5,4 out of 5 stars,-
298,13,Skyy Moore,KC,WR120,6,3 out of 5 stars,-
299,13,Calvin Austin III,PIT,WR121,9,1 out of 5 stars,-
300,13,Hunter Renfrow,FA,WR122,-,-,-
301,13,Van Jefferson,PIT,WR123,9,1 out of 5 stars,-
302,13,Bo Melton,GB,WR124,10,4 out of 5 stars,-
303,13,Jauan Jennings,SF,WR125,9,2 out of 5 stars,-
304,13,Allen Lazard,NYJ,WR126,12,4 out of 5 stars,-
305,13,Deneric Prince,KC,RB101,6,3 out of 5 stars,-
306,13,Logan Thomas,SF,TE42,9,4 out of 5 stars,-
307,13,Donald Parham Jr.,LAC,TE43,5,3 out of 5 stars,-
308,13,Michael Gallup,FA,WR127,-,-,-
309,13,Xavier Gipson,NYJ,WR128,12,4 out of 5 stars,-
310,13,Ty Johnson,BUF,RB102,12,2 out of 5 stars,-
311,13,Royce Freeman,DAL,RB103,7,3 out of 5 stars,-
312,13,John Metchie III,HOU,WR129,14,3 out of 5 stars,-
313,13,Jawhar Jordan,HOU,RB104,14,3 out of 5 stars,-
314,13,Erick All Jr.,CIN,TE44,12,3 out of 5 stars,-
315,13,Keaontay Ingram,KC,RB105,6,3 out of 5 stars,-
316,13,Will Dissly,LAC,TE45,5,3 out of 5 stars,-
317,13,Noah Gray,KC,TE46,6,3 out of 5 stars,-
318,13,Tim Patrick,DEN,WR130,14,2 out of 5 stars,-
319,13,Ainias Smith,PHI,WR131,5,2 out of 5 stars,-
320,13,Kylen Granson,IND,TE47,14,3 out of 5 stars,-
321,13,Craig Reynolds,DET,RB106,5,3 out of 5 stars,-
322,13,Parris Campbell,PHI,WR132,5,2 out of 5 stars,-
323,13,Tanner Hudson,CIN,TE48,12,3 out of 5 stars,-
324,13,Latavius Murray,FA,RB107,-,-,-
325,13,Cedrick Wilson Jr.,NO,WR133,12,3 out of 5 stars,-
326,13,Brandon Powell,MIN,WR134,6,3 out of 5 stars,-
327,13,Justin Watson,KC,WR135,6,3 out of 5 stars,-
328,13,Parker Washington,JAC,WR136,12,4 out of 5 stars,-
329,13,Johnny Wilson,PHI,WR137,5,2 out of 5 stars,-
330,13,Jeremy Ruckert,NYJ,TE49,12,3 out of 5 stars,-
331,13,Isaiah Davis,NYJ,RB108,12,2 out of 5 stars,-
332,13,Kenny Pickett,PHI,QB38,5,2 out of 5 stars,-
333,13,Cade Stover,HOU,TE50,14,2 out of 5 stars,-
334,13,Brevin Jordan,HOU,TE51,14,2 out of 5 stars,-
335,13,Blake Watson,DEN,RB109,14,4 out of 5 stars,-
336,13,Davis Allen,LAR,TE52,6,3 out of 5 stars,-
337,13,Jaheim Bell,NE,TE53,14,3 out of 5 stars,-
338,13,Johnny Mundt,MIN,TE54,6,2 out of 5 stars,-
339,13,Xavier Hutchinson,HOU,WR138,14,3 out of 5 stars,-
340,13,Chase Claypool,BUF,WR139,12,2 out of 5 stars,-
341,13,Trenton Irwin,CIN,WR140,12,2 out of 5 stars,-
342,13,Sam Howell,SEA,QB39,10,3 out of 5 stars,-
343,13,Frank Gore Jr.,BUF,RB110,12,2 out of 5 stars,-
344,13,Mack Hollins,BUF,WR141,12,2 out of 5 stars,-
345,13,Adam Trautman,DEN,TE55,14,2 out of 5 stars,-
346,13,Austin Hooper,NE,TE56,14,3 out of 5 stars,-
347,13,Josh Oliver,MIN,TE57,6,2 out of 5 stars,-
348,13,Nick Westbrook-Ikhine,TEN,WR142,5,4 out of 5 stars,-
349,13,Ameer Abdullah,LV,RB111,10,3 out of 5 stars,-
350,13,Chris Moore,ARI,WR143,11,3 out of 5 stars,-
351,14,Drew Lock,NYG,QB40,11,2 out of 5 stars,-
352,14,Nyheim Hines,CLE,RB112,10,4 out of 5 stars,-
353,14,Jase McClellan,ATL,RB113,12,4 out of 5 stars,-
354,14,Jamari Thrash,CLE,WR144,10,3 out of 5 stars,-
355,14,Mac Jones,JAC,QB41,12,5 out of 5 stars,-
356,14,Sean Tucker,TB,RB114,11,5 out of 5 stars,-
357,14,Emeka Egbuka,FA,WR145,-,-,-
358,14,Cody Schrader,SF,RB115,9,2 out of 5 stars,-
359,14,Robert Tonyan,MIN,TE58,6,2 out of 5 stars,-
360,14,KaVontae Turpin,DAL,WR146,7,3 out of 5 stars,-
361,14,Darnell Washington,PIT,TE59,9,3 out of 5 stars,-
362,14,Tommy Tremble,CAR,TE60,11,3 out of 5 stars,-
363,14,Luke Schoonmaker,DAL,TE61,7,2 out of 5 stars,-
364,14,Foster Moreau,NO,TE62,12,4 out of 5 stars,-
