RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
457,15,Raheem Blackshear,CAR,RB143,11,4 out of 5 stars,-
458,15,Patrick Taylor Jr.,SF,RB144,9,2 out of 5 stars,-
459,15,Hunter Luepke,DAL,RB145,7,3 out of 5 stars,-
460,15,Brenton Strange,JAC,TE82,12,3 out of 5 stars,-
461,15,Isaiah Williams,DET,WR192,5,4 out of 5 stars,-
462,16,TreVeyon Henderson,FA,RB146,-,-,-
463,16,Chris Evans,CIN,RB147,12,3 out of 5 stars,-
464,16,Logan Parker,FA,TE83,-,-,-
465,16,Jason Brownlee,NYJ,WR193,12,4 out of 5 stars,-
466,16,Ronnie Bell,SF,WR194,9,2 out of 5 stars,-
467,16,Malik Heath,GB,WR195,10,4 out of 5 stars,-
468,16,Jody Fortson Jr.,MIA,TE84,6,2 out of 5 stars,-
469,16,Lil'Jordan Humphrey,DEN,WR196,14,2 out of 5 stars,-
470,16,MyCole Pruitt,PIT,TE85,9,3 out of 5 stars,-
471,16,Ian Thomas,CAR,TE86,11,3 out of 5 stars,-
472,16,Elijah Higgins,ARI,TE87,11,5 out of 5 stars,-
473,16,Charlie Woerner,ATL,TE88,12,3 out of 5 stars,-
474,16,Drew Ogletree,IND,TE89,14,3 out of 5 stars,-
475,16,Tanner McLachlan,CIN,TE90,12,3 out of 5 stars,-
476,16,Peyton Hendershot,DAL,TE91,7,2 out of 5 stars,-
477,16,Daniel Helm,FA,TE92,-,-,-
478,16,Luke Farrell,JAC,TE93,12,3 out of 5 stars,-
479,16,Lawrence Cager,NYG,WR197,11,3 out of 5 stars,-
480,16,Gary Brightwell,FA,RB148,-,-,-
481,16,Jack Stoll,NYG,TE94,11,4 out of 5 stars,-
482,16,Jimmy Graham,FA,TE95,-,-,-
483,16,Jack Westover,SEA,TE96,10,3 out of 5 stars,-
484,16,Tyler Davis,FA,WR198,-,-,-
485,16,James Mitchell,DET,TE97,5,3 out of 5 stars,-
486,16,Brycen Hopkins,FA,TE98,-,-,-
487,16,Tucker Fisk,FA,TE99,-,-,-
488,16,Charlie Kolar,BAL,TE100,14,3 out of 5 stars,-
489,16,Payne Durham,TB,TE101,11,3 out of 5 stars,-
490,16,Geoff Swaim,FA,TE102,-,-,-
491,16,Stone Smartt,LAC,TE103,5,3 out of 5 stars,-
492,16,Tyler Mabry,SEA,TE104,10,3 out of 5 stars,-
493,16,John Bates,WAS,TE105,14,2 out of 5 stars,-
494,16,Julian Hill,MIA,TE106,6,2 out of 5 stars,-
495,16,Ross Dwelley,ATL,TE107,12,3 out of 5 stars,-
496,16,Nick Guggemos,FA,TE108,-,-,-
497,16,Teagan Quitoriano,HOU,TE109,14,2 out of 5 stars,-
498,16,Emani Bailey,KC,RB149,6,3 out of 5 stars,-
499,16,Josiah Deguara,JAC,TE110,12,3 out of 5 stars,-
500,16,Quintin Morris,BUF,TE111,12,2 out of 5 stars,-
501,16,Zack Kuntz,NYJ,TE112,12,3 out of 5 stars,-
502,16,Tommy Hudson,NO,TE113,12,4 out of 5 stars,-
503,16,Albert Okwuegbunam Jr.,PHI,TE114,5,4 out of 5 stars,-
504,16,Tyler Kroft,FA,TE115,-,-,-
